Jurisdicao,Subtipo,Basic Combined Cash & Tip Minimum Wage Rate,Maximum Tip Credit Against Minimum Wage,Minimum Cash Wage 1,Definition of Tipped Employee by Minimum Tips received (monthly unless otherwise specified),Notas de Rodapé,Categoria
Alaska,,,13.0,,,,State requires employers to pay tipped employees full state minimum wage before tips
California,,,16.5,,,,State requires employers to pay tipped employees full state minimum wage before tips
Guam,,,9.25,,,,State requires employers to pay tipped employees full state minimum wage before tips
Minnesota,,,11.13,,,,State requires employers to pay tipped employees full state minimum wage before tips
Montana,,,,,,,State requires employers to pay tipped employees full state minimum wage before tips
Montana,"Business with gross annual sales over $110,000",,,10.55,,,State requires employers to pay tipped employees full state minimum wage before tips
Montana,"Business not covered by the Fair Labor Standards Act with gross annual sales of $110,000 or less",,,4.0,,,State requires employers to pay tipped employees full state minimum wage before tips
Nevada,,,12.0,,,,State requires employers to pay tipped employees full state minimum wage before tips
Nevada,Oregon The Oregon minimum wage varies by region.,,,15.05,,,State requires employers to pay tipped employees full state minimum wage before tips
Washington,,,16.66,,,,State requires employers to pay tipped employees full state minimum wage before tips
Arizona,Geral,14.7,3.0,11.7,Not specified,,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
Arkansas,Geral,11.0,8.37,2.63,Not specified,,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
Colorado,Geral,14.81,3.02,11.79,More than $30,,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
Connecticut,Geral,16.35,,,,Connecticut. The Connecticut minimum wage is adjusted annually based on a set formula.,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
Connecticut,"Hotel, restaurant",,9.97,6.38,Not specified,,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
Connecticut,Bartenders who customarily receive tips,,8.12,8.23,,,State requires employers to pay tipped employees a minimum cash wage above the minimum cash wage required under the federal Fair Labor Standards Act ($2.13/hour)
